"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"155","C11","CPCRW","saturation","SATURATION_INCUBATION",241.91,150.55,2.76857498980244,10.6273851943229,0.0183897375609594
"156","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.49,278.9,0.371480702946506,3.14820833598598,0.00133194945480999
"157","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.65,320.73,1.49145707700679,3.02718491704948,0.00465019510805597
"158","C13","CPCRW","saturation","SATURATION_INCUBATION",242.01,138.96,4.05013301199303,17.7462627179312,0.0291460349164725
"159","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.65,168.51,2.01009421505848,7.03565699280137,0.011928634591766
"160","C15","CPCRW","saturation","SATURATION_INCUBATION",242.04,156.34,16.4503340293491,50.2056010584519,0.105221530186447
"161","C14","CPCRW","saturation","SATURATION_INCUBATION",241.76,233.1,NA,2.72864598719104,NA
"162","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",337.99,213.67,1.06063969368832,4.5838903948171,0.00496391488598455
"163","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",338.11,209.99,23.4337798387239,44.5954170614576,0.111594741838773
"164","C12","CPCRW","saturation","SATURATION_INCUBATION",242.36,232.06,1.2674663271647,8.11366772591784,0.00546180439181547
"165","C11","CPCRW","saturation","SATURATION_INCUBATION",242.53,150.55,2.28897313123927,10.6368117193403,0.0152040726086966
"166","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",338.11,278.9,0.355055216242151,3.14899763047888,0.00127305563371155
"167","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",338.28,320.73,1.10755158193097,3.0293604463003,0.00345322103305262
"168","C13","CPCRW","saturation","SATURATION_INCUBATION",242.63,138.96,5.6188238893231,17.7713323121409,0.0404348293704886
"169","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",338.28,168.51,2.01352872945453,7.04318487304323,0.0119490162569256
"170","C15","CPCRW","saturation","SATURATION_INCUBATION",243.65,156.34,24.8902195282816,50.4619222394711,0.159205702496364
"171","C14","CPCRW","saturation","SATURATION_INCUBATION",243.38,233.1,0.0137591723564796,2.7287416107827,5.9026908436206e-05
"172","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",339.6,213.67,1.90235467585132,4.59822460658347,0.00890323712196996
