SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,321,SATURATION_INCUBATION,13,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,577.11,NA,57
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,322,SATURATION_INCUBATION,14,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,551.87,NA,57
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,323,SATURATION_INCUBATION,12,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,596.59,NA,57
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,324,SATURATION_INCUBATION,15,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,599.05,NA,57
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,325,SATURATION_INCUBATION,5,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,484.14,NA,57
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,326,DROUGHT_PRE_INCUBATION,3,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,497.08,NA,57
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,327,DROUGHT_PRE_INCUBATION,9,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,367.66,NA,57
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,328,DROUGHT_PRE_INCUBATION,7,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,332.01,NA,57
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,329,DROUGHT_PRE_INCUBATION,10,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,334.01,NA,57
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,330,DROUGHT_PRE_INCUBATION,11,2016-11-01T17:44:00Z,2016-11-01T23:05:00Z,345.65,NA,57
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,331,FIELD_MOIST_INCUBATION,2,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,420.15,NA,55
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,332,FIELD_MOIST_INCUBATION,9,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,415.23,NA,55
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,333,FIELD_MOIST_INCUBATION,12,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,390.88,NA,55
